hjd,camera,mag,mag_err,flux,flux_err
2458293.11613,bc,12.635,0.02,33.892,0.624
2457403.72431,bc,12.613,0.02,34.56,0.636
2457668.08065,bc,12.567,0.02,36.054,0.663
2457998.93434,bc,12.59,0.02,35.322,0.65
2457413.77343,bc,12.609,0.02,34.694,0.638
2457778.79702,bc,12.558,0.02,36.36,0.669
2457010.83437,bc,12.696,0.02,32.037,0.589
2457657.95746,bc,12.557,0.02,36.416,0.67
2457761.78675,bc,12.55,0.02,36.629,0.674
2458348.97109,bc,12.643,0.02,33.625,0.619
2457008.82739,bc,12.682,0.02,32.453,0.597
2458023.96947,bc,12.582,0.02,35.568,0.654
2457390.84488,bc,12.613,0.02,34.583,0.636
2458074.86935,bc,12.52,0.02,37.663,0.693
2458071.97947,bc,12.367,0.02,43.359,0.798
2457424.73881,bc,12.609,0.02,34.702,0.639
2458026.91788,bc,12.59,0.02,35.32,0.65
2457228.09301,bc,12.676,0.02,32.623,0.6
2457043.76489,bc,12.7,0.02,31.905,0.587
2458317.06989,bc,12.649,0.02,33.448,0.615
2457416.75922,bc,12.614,0.02,34.548,0.636
2457070.73155,bc,12.662,0.02,33.049,0.608
2457011.8273,bc,12.701,0.02,31.871,0.586
2457587.07095,bc,12.562,0.02,36.23,0.667
2458111.87504,bc,12.493,0.02,38.616,0.711
2458034.95114,bc,12.554,0.02,36.501,0.672
2457739.89491,bc,12.568,0.02,36.039,0.663
2457243.06021,bc,12.685,0.02,32.349,0.595
2458295.10202,bc,12.643,0.02,33.638,0.619
2457238.098,bc,12.69,0.02,32.197,0.592
2457609.04919,bc,12.519,0.02,37.687,0.693
2457037.77509,bc,12.689,0.02,32.249,0.593
2457998.05649,bc,12.606,0.02,34.793,0.64
2457675.87896,bc,12.575,0.02,35.813,0.659
2457021.79725,bc,12.703,0.02,31.826,0.586
2457564.1102,bc,12.572,0.02,35.917,0.661
2457321.96905,bc,12.655,0.02,33.264,0.612
2457781.76771,bc,12.561,0.02,36.283,0.668
2458159.73306,bc,12.567,0.02,36.074,0.664
2458065.99564,bc,12.416,0.02,41.435,0.762
2458070.98746,bc,12.412,0.02,41.612,0.766
2458004.98454,bc,12.612,0.02,34.604,0.637
2457970.02849,bc,12.567,0.02,36.063,0.664
2457363.91496,bc,12.625,0.02,34.186,0.629
2457745.85475,bc,12.55,0.02,36.628,0.674
2457078.72437,bc,12.672,0.02,32.733,0.602
2458028.07628,bc,12.578,0.02,35.708,0.657
2457931.09907,bc,12.582,0.02,35.574,0.655
2457272.06099,bc,12.666,0.02,32.923,0.606
2457398.74145,bc,12.615,0.02,34.497,0.635
2457786.73067,bc,12.542,0.02,36.912,0.679
2457628.08138,bc,12.572,0.02,35.905,0.661
2457960.09196,bc,12.576,0.02,35.767,0.658
2457928.11025,bc,12.561,0.02,36.283,0.668
2457422.72302,bc,12.621,0.02,34.319,0.631
2458097.88552,bc,12.491,0.02,38.668,0.711
2458020.03929,bc,12.59,0.02,35.299,0.65
2457317.89091,bc,12.654,0.02,33.298,0.613
2457990.09094,bc,12.619,0.02,34.396,0.633
2457270.08451,bc,12.664,0.02,32.996,0.607
2457638.05684,bc,12.559,0.02,36.341,0.669
2457419.74869,bc,12.627,0.02,34.142,0.628
2458298.09234,bc,12.607,0.02,34.753,0.639
2457007.81854,bc,12.716,0.02,31.448,0.579
2457967.06361,bc,12.574,0.02,35.827,0.659
2457730.75241,bc,12.57,0.02,35.98,0.662
2457704.80009,bc,12.57,0.02,35.967,0.662
2457236.12885,bc,12.688,0.02,32.276,0.594
2457304.02666,bc,12.647,0.02,33.508,0.617
2457576.08815,bc,12.581,0.02,35.605,0.655
2458021.90923,bc,12.603,0.02,34.899,0.642
2458343.04781,bc,12.667,0.02,32.888,0.605
2457329.97776,bc,12.628,0.02,34.105,0.628
2457983.06072,bc,12.601,0.02,34.966,0.643
2457386.83282,bc,12.625,0.02,34.176,0.629
2457223.10086,bc,12.681,0.02,32.483,0.598
