 ! Swift/XRT detailed lightcurve of trigger: 10336, name: Swift J0243.66124
 ! T0 for this burst is Swift MET=528690141.6006 s, = 2017 Oct 03 at 02:22:01.820 UT

 ! Data covers 0.3-10 keV
 ! For details of light-curve production, see Evans et al. 2007, A&A, 469, 379
 ! BINMODE: 
!MJD    	T_+ve   	T_-ve   	Rate    	Ratepos 	Rateneg 	BGrate  	BGerr   	FracExp
! WT data
58029.1844500567	0.0708487962962963	-0.0708487962962963	1.420849e+01	8.685247e-02	-8.375073e-02	2.439643e-01	7.957236e-03	0.245843
58031.7008286574	0.137837650462963	-0.137837650462963	3.199895e+01	6.789494e-01	-6.662458e-01	4.032327e-01	1.204351e-02	0.077192
58032.0698170486	0.0382478009259259	-0.0382478009259259	3.944891e+01	1.431416e-01	-1.432003e-01	4.202556e-01	1.180661e-02	0.326630
58033.3591551701	0.0100391898148148	-0.0100391898148148	4.588809e+01	6.232637e+00	-5.769700e+00	7.419764e-01	1.657040e-02	1.000000
58034.3501087002	0.00453430555555556	-0.00453430555555556	7.910089e+01	3.352347e-01	-3.353561e-01	7.923327e-01	2.690903e-02	1.000000
58035.2830845336	0.403461678240741	-0.403461678240741	1.016407e+02	6.278483e-01	-7.614077e-01	1.243240e+00	1.985693e-02	0.037022
58036.4858781852	0.00482990740740741	-0.00482990740740741	1.384609e+02	1.339347e+00	-6.671882e-01	1.602636e+00	3.460359e-02	0.999997
58037.5096434514	0.0338794444444444	-0.0338794444444444	1.901849e+02	7.138475e+00	-1.215951e+00	1.719298e+00	2.399982e-02	0.365522
58038.5036132396	0.0329488888888889	-0.0329488888888889	2.034140e+02	1.463541e+01	-1.524317e+01	2.172423e+00	2.614343e-02	0.347969
58040.1423015498	0.8005309375	-0.8005309375	3.047375e+02	9.301542e+00	-2.019999e+00	2.520061e+00	3.716435e-02	0.008538
58041.6302690104	0.0396262731481482	-0.0396262731481482	3.589244e+02	3.033390e+01	-5.760015e+01	3.063895e+00	2.910219e-02	0.300033
58042.395207066	0.467755960648148	-0.467755960648148	3.720325e+02	1.590779e+01	-5.144495e+00	3.248416e+00	1.823198e-02	0.068231
58044.4859137269	0.0437243055555556	-0.0437243055555556	4.366917e+02	1.194159e+01	-1.815862e+00	3.312119e+00	3.005063e-02	0.278714
58048.896663581	0.0100391550925926	-0.0100391550925926	5.925197e+02	2.390945e+01	-1.005830e+01	5.148409e+00	3.873832e-02	0.999996
58050.9521344688	0.00943158564814815	-0.00943158564814815	7.749175e+02	1.400303e+01	-2.675163e+00	6.058533e+00	4.174924e-02	0.999998
58052.1736728368	0.0311441203703704	-0.0311441203703704	9.207672e+02	7.883263e+01	-8.973674e+01	7.672896e+00	4.382867e-02	0.373482
58052.5582547546	0.265109780092593	-0.265109780092593	1.140674e+03	1.790573e+01	-1.578140e+01	6.710040e+00	5.501696e-02	0.021642
58056.4650117257	0.00834331018518518	-0.00834331018518518	1.858155e+03	1.530373e+01	-1.850686e+01	9.037930e+00	4.745906e-02	0.999999
58058.3893088519	0.00836087962962963	-0.00836087962962963	2.797199e+03	1.488299e+01	-1.066535e+01	8.459690e+00	3.802348e-02	1.000000
58060.5922656308	0.00193638888888889	-0.00193638888888889	3.318802e+03	2.784338e+01	-2.377374e+01	9.535523e+00	8.717424e-02	1.000000
58061.2498005845	0.00552255787037037	-0.00552255787037037	3.651620e+03	2.892350e+01	-1.804846e+01	1.227290e+01	5.345955e-02	1.000000
58062.7094775127	0.536800775462963	-0.536800775462963	3.934133e+03	4.571847e+01	-2.521513e+02	9.618780e+00	3.283759e-02	0.020483
58066.9309772975	0.0361294560185185	-0.0361294560185185	3.423068e+03	2.391390e+01	-1.456505e+01	1.180795e+01	5.093232e-02	0.169127
58067.1539435822	0.00624866898148148	-0.00624866898148148	3.073100e+03	7.086993e+02	-6.302084e+02	1.260969e+01	5.369813e-02	1.000000
58070.4121437824	0.00633541666666667	-0.00633541666666667	2.280785e+03	2.260870e+01	-2.375810e+01	1.049251e+01	5.194121e-02	0.999999
58072.402902412	0.0059002662037037	-0.0059002662037037	2.124591e+03	2.041054e+01	-1.913244e+01	1.218506e+01	6.179264e-02	0.999999
58080.9172532072	0.00196613425925926	-0.00196613425925926	8.107619e+02	1.889013e+01	-4.916891e+00	8.923889e+00	1.123057e-01	1.000000
58082.57832789	0.00524460648148148	-0.00524460648148148	7.604082e+02	1.398696e+01	-3.321680e+00	7.655473e+00	6.212884e-02	1.000000
