 ! Swift/XRT detailed lightcurve of trigger: 10977, name: smc X-3
 ! T0 for this burst is Swift MET=153250381.8006 s, = 2005 Nov 09 at 17:33:01.970 UT

 ! Data covers 0.3-10 keV
 ! For details of light-curve production, see Evans et al. 2007, A&A, 469, 379
 ! BINMODE: 
!MJD    	T_+ve   	T_-ve   	Rate    	Ratepos 	Rateneg 	BGrate  	BGerr   	FracExp
! WT data
57610.9988428067	0.0736538078703704	-0.0736538078703704	1.269630e+01	6.090199e-01	-5.199818e-01	2.044050e-01	5.445479e-03	0.368510
57612.5959712014	0.0666942824074074	-0.0666942824074074	1.771049e+01	8.397429e-01	-7.179307e-01	2.137107e-01	8.555277e-03	0.172992
57614.5652243299	0.0352836458333333	-0.0352836458333333	2.061253e+01	2.413324e-01	-2.255547e-01	3.951027e-01	1.714599e-02	0.156946
57618.9464024734	0.0367233333333333	-0.0367233333333333	2.867653e+01	4.756169e-01	-6.372101e-01	3.359800e-01	1.128747e-02	0.315565
57620.8751585648	0.0378592939814815	-0.0378592939814815	3.359905e+01	7.623179e-01	-8.931175e-01	3.376402e-01	1.226364e-02	0.228601
57622.9344681042	0.0368380208333333	-0.0368380208333333	3.761352e+01	1.580145e+00	-1.997245e+00	3.912830e-01	1.194514e-02	0.310148
57624.861485816	0.102059537037037	-0.102059537037037	3.728889e+01	5.444012e-01	-6.080643e-01	3.471685e-01	1.309371e-02	0.073712
57626.7539668727	0.00210034722222222	-0.00210034722222222	3.717764e+01	3.431939e-01	-3.458119e-01	3.590695e-01	2.520174e-02	1.000000
57628.4802802546	0.334092685185185	-0.334092685185185	3.430494e+01	8.387893e-01	-1.005838e+00	3.708077e-01	1.497678e-02	0.020255
57630.5345543785	0.465211944444444	-0.465211944444444	3.451767e+01	7.455550e-01	-8.251122e-01	3.211581e-01	1.503961e-02	0.012082
57632.5270717546	0.00468519675925926	-0.00468519675925926	3.548915e+01	3.071800e+00	-2.619691e+00	3.269096e-01	1.640712e-02	1.000000
57634.2546338981	0.0680627777777778	-0.0680627777777778	3.151384e+01	7.096960e-01	-5.616281e-01	3.103806e-01	1.031740e-02	0.164907
57636.4042867604	0.233699155092593	-0.233699155092593	2.325659e+01	1.603610e+00	-1.421438e+00	2.695667e-01	1.146314e-02	0.033687
57637.9633183576	0.130005509259259	-0.130005509259259	2.433164e+01	1.087068e-01	-1.198422e-01	2.527002e-01	7.554235e-03	0.132910
57638.927601809	0.164261284722222	-0.164261284722222	2.305133e+01	7.841499e-01	-7.069935e-01	2.418621e-01	7.272610e-03	0.105098
57639.7233810104	0.105035092592593	-0.105035092592593	2.234772e+01	6.899255e-01	-6.865367e-01	2.582593e-01	7.844067e-03	0.152072
57644.744376853	0.102305358796296	-0.102305358796296	1.673157e+01	2.817789e-01	-3.343487e-01	2.158020e-01	7.016327e-03	0.169308
57645.7051867836	0.0730764351851852	-0.0730764351851852	1.657402e+01	7.977238e-02	-7.957208e-02	1.970233e-01	6.863633e-03	0.237155
57646.6690050278	0.04286	-0.04286	1.607105e+01	2.143768e-01	-2.071172e-01	1.992526e-01	6.862624e-03	0.405046
57648.7582956204	0.138039143518519	-0.138039143518519	1.320282e+01	7.950314e-02	-7.900919e-02	2.074831e-01	7.367942e-03	0.126108
57650.8833041539	0.00887707175925926	-0.00887707175925926	1.217507e+01	9.492075e-02	-9.495102e-02	1.916944e-01	9.885882e-03	1.000000
57652.6406562627	0.306335671296296	-0.306335671296296	1.118099e+01	1.563799e-01	-1.536566e-01	1.716275e-01	6.832384e-03	0.049034
57654.3753380139	0.305024178240741	-0.305024178240741	1.025489e+01	7.124490e-02	-7.125623e-02	1.943254e-01	7.829593e-03	0.043299
57656.2596918819	0.199126238425926	-0.199126238425926	9.945147e+00	6.626976e-02	-6.628352e-02	2.059997e-01	7.842275e-03	0.076006
57658.8185705069	0.177032199074074	-0.177032199074074	9.298321e+00	5.729558e-02	-5.730950e-02	2.165022e-01	7.133989e-03	0.107453
57660.382745162	0.333700023148148	-0.333700023148148	8.468211e+00	6.436536e-02	-6.437563e-02	1.599722e-01	6.033467e-03	0.051470
57662.8291408252	0.00329732638888889	-0.00329732638888889	7.232984e+00	1.206951e-01	-1.206991e-01	1.751880e-01	1.560698e-02	1.000000
57664.79218886	0.0416357407407407	-0.0416357407407407	6.488821e+00	6.742598e-02	-6.743174e-02	2.372573e-01	1.049564e-02	0.240287
57667.3537434699	0.0696527083333333	-0.0696527083333333	6.298422e+00	1.251150e-01	-1.251180e-01	1.618571e-01	1.635003e-02	0.038518
57668.7848984236	0.0385232407407407	-0.0385232407407407	5.496515e+00	4.840113e-02	-4.840689e-02	2.059141e-01	7.744196e-03	0.419503
57670.7705069583	0.0431761111111111	-0.0431761111111111	5.167784e+00	4.656592e-02	-4.657121e-02	1.971327e-01	7.510157e-03	0.381015
57672.4282546111	0.235435277777778	-0.235435277777778	4.760671e+00	5.298899e-02	-5.299293e-02	1.854160e-01	8.454243e-03	0.049180
57674.7909699375	0.208821678240741	-0.208821678240741	4.504982e+00	5.194473e-02	-5.194834e-02	2.088281e-01	8.816730e-03	0.056448
57675.9880612569	0.529804155092593	-0.529804155092593	4.206139e+00	6.389671e-02	-6.389927e-02	1.499671e-01	9.522919e-03	0.013274
57680.362855037	0.267510277777778	-0.267510277777778	3.748705e+00	4.406604e-02	-4.406898e-02	1.160451e-01	5.642304e-03	0.054305
57681.5991314491	0.304125104166667	-0.304125104166667	3.436446e+00	3.768673e-02	-3.768961e-02	1.398830e-01	6.224711e-03	0.054655
57682.2266361736	0.0676156481481481	-0.0676156481481481	3.409211e+00	3.419879e-02	-3.420192e-02	1.351294e-01	5.387961e-03	0.294548
57684.282907912	0.0724178703703704	-0.0724178703703704	3.390417e+00	3.290476e-02	-3.290799e-02	1.392027e-01	5.426686e-03	0.295798
57686.1451436551	0.130359386574074	-0.130359386574074	3.057539e+00	3.167361e-02	-3.167633e-02	1.449682e-01	5.526862e-03	0.161819
57688.5005629977	0.104764872685185	-0.104764872685185	2.902373e+00	4.027834e-02	-4.028027e-02	1.166832e-01	5.550052e-03	0.151247
57690.2544063333	0.0716042824074074	-0.0716042824074074	2.951800e+00	3.884984e-02	-3.885191e-02	1.101439e-01	5.473094e-03	0.190779
57696.8360498241	0.103879444444444	-0.103879444444444	2.526584e+00	2.931573e-02	-2.931774e-02	1.210740e-01	4.509031e-03	0.222621
57698.7953201852	0.2017015625	-0.2017015625	2.468324e+00	2.452042e-02	-2.452271e-02	9.992180e-02	3.589297e-03	0.151132
57700.7547393542	0.108219780092593	-0.108219780092593	2.259162e+00	2.482743e-02	-2.482932e-02	1.298941e-01	4.468492e-03	0.249092
57702.5384914051	0.100180578703704	-0.100180578703704	2.197818e+00	2.522411e-02	-2.522588e-02	1.213036e-01	4.420550e-03	0.257136
57705.6578244526	0.0343195833333333	-0.0343195833333333	2.016554e+00	3.805276e-02	-3.805374e-02	1.086841e-01	6.202927e-03	0.307329
57706.8961082141	0.0779987847222222	-0.0779987847222222	2.078143e+00	2.463317e-02	-2.463479e-02	1.351613e-01	4.614331e-03	0.331411
57708.8875745127	0.0788841782407407	-0.0788841782407407	1.950770e+00	2.559324e-02	-2.559461e-02	1.220954e-01	4.366121e-03	0.318622
57710.5446183345	0.0746226388888889	-0.0746226388888889	1.801051e+00	2.259978e-02	-2.260110e-02	1.001096e-01	3.836210e-03	0.360531
