 ! Swift/XRT detailed lightcurve of trigger: 10977, name: Swift J005139.2-721704 
 ! T0 for this burst is Swift MET=153250381.8006 s, = 2005 Nov 09 at 17:33:01.970 UT

 ! Data covers 0.3-10 keV
 ! For details of light-curve production, see Evans et al. 2007, A&A, 469, 379
 ! BINMODE: 
!MJD    	T_+ve   	T_-ve   	Rate    	Ratepos 	Rateneg 	BGrate  	BGerr   	FracExp
! WT data
57754.2706298715	0.00695592592592593	-0.00695592592592593	5.974838e-01	3.667782e-02	-4.206303e-02	1.141118e-01	8.028879e-03	1.000000
58434.8038008206	0.0411979513888889	-0.0411979513888889	1.020346e+00	3.200671e-02	-2.695847e-02	1.176731e-01	5.125920e-03	0.420662
58435.335619022	0.0349445138888889	-0.0349445138888889	1.315399e+00	3.980107e-02	-4.105065e-02	1.188972e-01	6.364423e-03	0.330536
58438.8897345752	0.607939872685185	-0.607939872685185	2.776822e+00	2.623358e-02	-2.635610e-02	1.477303e-01	4.537499e-03	0.047041
58447.5128483669	0.0757306134259259	-0.0757306134259259	4.311017e+00	8.571587e-02	-1.191555e-01	1.639918e-01	4.232839e-03	0.458284
58450.3314798345	0.0961687037037037	-0.0961687037037037	5.698598e+00	3.725517e-01	-3.725521e-01	1.354514e-01	4.515046e-02	0.002863
! PC data
55866.1848464497	0.00114627314814815	-0.00114627314814815	9.149520e-03	1.374258e-02	-6.697448e-03	0.000000e+00	0.000000e+00	1.000000
56154.5308186975	0.440583923611111	-0.440583923611111	1.387852e-03	1.068840e-03	-7.190197e-04	5.081839e-05	4.310359e-06	0.053484
56203.3097421219	0.166507743055556	-0.166507743055556	3.788769e-03	3.564093e-03	-2.183391e-03	2.818237e-05	6.465480e-06	0.033898
56206.6386030713	0.171686331018519	-0.171686331018519	9.081786e-04	6.793960e-04	-4.575653e-04	2.208125e-05	2.639214e-06	0.192438
56257.1102714856	0.738900509259259	-0.738900509259259	1.349228e-03	1.014751e-03	-6.826337e-04	3.393598e-05	4.115342e-06	0.032264
56261.6406460512	0.334215138888889	-0.334215138888889	1.048086e-03	6.898323e-04	-4.907705e-04	6.099040e-05	6.192637e-06	0.098291
58428.5422990521	0.00603608796296296	-0.00603608796296296	1.233253e-02	4.740912e-03	-3.832650e-03	7.617071e-04	8.119825e-05	1.000000
58431.4596274074	0.00538318287037037	-0.00538318287037037	4.549828e-01	3.802725e-02	-3.802725e-02	4.504572e-04	1.092519e-04	0.999994
58434.7031665961	0.00560079861111111	-0.00560079861111111	8.235055e-01	5.094013e-02	-5.094013e-02	1.352887e-03	2.166353e-04	1.000000
58435.5783610359	0.000348240740740741	-0.000348240740740741	1.002759e+00	3.659652e-01	-2.958538e-01	5.030214e-03	1.590693e-03	1.000000
58437.688913191	0.00525255787037037	-0.00525255787037037	2.156479e+00	1.284237e-01	-1.284237e-01	3.292981e-03	3.244671e-04	1.000000
58440.5421922986	0.00615217592592593	-0.00615217592592593	3.228838e+00	1.315336e-01	-1.315336e-01	2.978274e-03	2.963494e-04	1.000000
58442.2675961944	0.000348240740740741	-0.000348240740740741	3.557339e+00	6.056302e-01	-6.056302e-01	4.096072e-03	1.448180e-03	1.000000
58443.5383787315	0.00580393518518518	-0.00580393518518518	3.042886e+00	1.528929e-01	-1.528929e-01	3.903908e-03	3.410861e-04	1.000000
58446.1944586424	0.00525255787037037	-0.00525255787037037	3.566553e+00	1.675309e-01	-1.675309e-01	4.244670e-03	3.666836e-04	1.000000
58449.3145109155	0.00603608796296296	-0.00603608796296296	4.283054e+00	1.878731e-01	-1.878731e-01	5.357966e-03	3.769851e-04	1.000000
58449.4324696887	0.000319212962962963	-0.000319212962962963	3.801924e+00	6.790602e-01	-6.790602e-01	5.867856e-03	1.769225e-03	1.000000
58450.3390764317	0.103710775462963	-0.103710775462963	5.164188e+00	9.508951e-02	-9.508951e-02	5.923564e-03	1.878841e-04	0.268621
58452.4349673368	0.00502040509259259	-0.00502040509259259	4.406478e+00	1.930350e-01	-1.930350e-01	3.941575e-03	3.583250e-04	1.000000
58455.2861317801	0.00594903935185185	-0.00594903935185185	4.384017e+00	2.031740e-01	-2.031740e-01	3.567117e-03	3.093083e-04	1.000000
58456.346070456	0.000362743055555556	-0.000362743055555556	4.668296e+00	7.326699e-01	-7.326699e-01	3.173026e-03	1.199291e-03	1.000000
58458.9637169282	0.0360131018518519	-0.0360131018518519	3.302920e+00	1.260918e-01	-1.260918e-01	4.578966e-03	3.586523e-04	0.170831
58470.4823513634	0.0354386111111111	-0.0354386111111111	1.832206e+00	1.159487e-01	-1.159487e-01	3.346279e-03	3.547048e-04	0.128153
58470.9175021852	0.000348240740740741	-0.000348240740740741	1.157498e+00	2.578608e-01	-2.578608e-01	7.025805e-03	1.948608e-03	1.000000
58471.5774172037	0.000319212962962963	-0.000319212962962963	1.202904e+00	4.104197e-01	-3.352521e-01	3.305922e-03	1.349637e-03	1.000000
58471.9762835	0.00190078703703704	-0.00190078703703704	1.313473e+00	9.138497e-02	-9.138497e-02	3.629896e-03	6.135645e-04	1.000000
58472.9361621759	0.0385551157407407	-0.0385551157407407	1.705812e+00	8.921982e-02	-8.921982e-02	3.084182e-03	3.215482e-04	0.131343
58473.5014049838	0.00803844907407407	-0.00803844907407407	1.576417e+00	8.710772e-02	-8.710772e-02	2.671809e-03	2.361568e-04	1.000000
58474.5580434398	0.00625373842592593	-0.00625373842592593	1.948281e+00	1.197141e-01	-1.197141e-01	2.819687e-03	2.688466e-04	1.000000
58475.1198129884	0.0361705671296296	-0.0361705671296296	1.214208e+00	7.193055e-02	-7.193055e-02	3.272174e-03	3.570234e-04	0.122351
58476.1784082037	0.0344978587962963	-0.0344978587962963	1.402113e+00	8.310411e-02	-8.310411e-02	2.910354e-03	3.233727e-04	0.152258
58479.2811021018	0.000319212962962963	-0.000319212962962963	8.623071e-01	2.549403e-01	-2.131427e-01	1.725276e-03	9.960888e-04	1.000000
58491.2882858588	0.000362743055555556	-0.000362743055555556	6.485931e-01	2.085520e-01	-1.718095e-01	1.067036e-03	7.545086e-04	1.000000
58492.1443097361	0.00609415509259259	-0.00609415509259259	4.303434e-01	2.981720e-02	-2.981720e-02	1.270341e-03	1.640003e-04	0.999997
58496.0689175995	0.00648592592592593	-0.00648592592592593	2.701302e-01	2.021230e-02	-2.021230e-02	1.947739e-03	1.947739e-04	0.999995
58500.9035608044	0.00587648148148148	-0.00587648148148148	1.460024e-01	1.361708e-02	-1.361708e-02	1.489322e-03	1.819497e-04	1.000000
58504.2974072778	0.00560079861111111	-0.00560079861111111	5.703009e-02	8.732836e-03	-8.732836e-03	1.222209e-03	1.401970e-04	1.000000
58505.2225702176	0.000319212962962963	-0.000319212962962963	6.526682e-02	4.787569e-02	-3.224372e-02	1.254295e-03	8.869204e-04	1.000000
