 ! Swift/XRT detailed lightcurve of trigger: 10056, name: sxp 5.05
 ! T0 for this burst is Swift MET=153250381.8006 s, = 2005 Nov 09 at 17:33:01.970 UT

 ! Data covers 0.3-10 keV
 ! For details of light-curve production, see Evans et al. 2007, A&A, 469, 379
 ! BINMODE: 
!MJD    	T_+ve   	T_-ve   	Rate    	Ratepos 	Rateneg 	BGrate  	BGerr   	FracExp
! WT data
56622.8290737199	9.78587962962963e-05	-9.78587962962963e-05	2.411694e+00	4.937112e-01	-4.882729e-01	7.884578e-02	5.575239e-02	1.000000
56624.5064185926	9.78703703703704e-05	-9.78703703703704e-05	1.077472e+00	3.095902e-01	-3.104143e-01	1.204462e-01	6.953963e-02	1.000000
56626.5059610116	0.000110208333333333	-0.000110208333333333	1.407817e+00	2.928234e-01	-2.928234e-01	3.760008e-02	3.760008e-02	1.000000
56634.2403863808	0.00598434027777778	-0.00598434027777778	1.464627e+00	7.149654e-02	-7.070526e-02	1.169990e-01	1.316341e-02	0.459489
56640.0423089606	0.0788809606481481	-0.0788809606481481	1.418853e+00	6.494344e-02	-6.035838e-02	8.482863e-02	3.627010e-03	0.338427
56671.3772371516	0.310171180555556	-0.310171180555556	8.468595e-01	2.321108e-02	-2.313677e-02	1.253988e-01	5.153858e-03	0.065820
56673.2407530532	0.0403612152777778	-0.0403612152777778	8.888831e-01	2.317568e-02	-2.545777e-02	7.911653e-02	4.228957e-03	0.407203
56675.5365029363	0.0702941087962963	-0.0702941087962963	8.444738e-01	1.798276e-02	-1.818241e-02	9.497819e-02	4.129487e-03	0.306276
56677.2752042431	0.0711965046296296	-0.0711965046296296	8.479734e-01	1.716137e-02	-1.716789e-02	8.666540e-02	3.943412e-03	0.309168
56679.508551603	0.0385021875	-0.0385021875	7.509235e-01	2.152926e-02	-2.173672e-02	1.070523e-01	5.626545e-03	0.353537
56683.7788281157	0.16336900462963	-0.16336900462963	6.951405e-01	1.952391e-02	-1.963094e-02	9.804053e-02	5.042661e-03	0.094482
56685.0749035556	0.0701116319444444	-0.0701116319444444	6.650635e-01	2.266366e-02	-2.272816e-02	9.171152e-02	5.709710e-03	0.153033
56687.0785237269	0.00607585648148148	-0.00607585648148148	6.576821e-01	3.455858e-02	-3.716243e-02	1.021841e-01	8.129331e-03	1.000000
56691.268394985	0.0023165625	-0.0023165625	6.274724e-01	5.241378e-02	-5.241323e-02	1.873919e-01	1.964401e-02	1.000000
56693.2422843472	0.0409259953703704	-0.0409259953703704	5.783784e-01	2.271891e-02	-2.271404e-02	1.596241e-01	8.082878e-03	0.277887
56694.5041250995	0.303353946759259	-0.303353946759259	6.346042e-01	1.329167e-02	-1.326552e-02	9.488358e-02	3.226138e-03	0.114436
56696.3410414155	0.00536826388888889	-0.00536826388888889	5.460990e-01	2.997890e-02	-2.997911e-02	1.163851e-01	9.229937e-03	1.000000
! WT upper limits
56694.3749773206	0.174206226851852	-0.174206226851852	1.2755e-03	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.1860
! PC data
56601.9948605926	0.00516488425925926	-0.00516488425925926	1.748041e+00	8.830468e-02	-8.830468e-02	3.869786e-03	3.741064e-04	0.879319
56612.8411955718	0.00587650462962963	-0.00587650462962963	6.160670e-01	4.917002e-02	-4.917002e-02	2.959813e-03	2.466511e-04	0.999997
56614.7052486389	0.00570236111111111	-0.00570236111111111	4.479647e-02	8.727361e-03	-8.727361e-03	8.486158e-04	8.203878e-05	1.000000
56616.8416373194	0.0020894212962963	-0.0020894212962963	3.859762e-01	4.769347e-02	-4.769347e-02	3.463311e-03	4.712969e-04	1.000000
56618.8457057685	0.00622472222222222	-0.00622472222222222	2.289299e+00	9.842373e-02	-9.842373e-02	3.676525e-03	3.096192e-04	1.000000
56620.700848963	0.00523805555555556	-0.00523805555555556	1.777873e+00	8.142224e-02	-8.142224e-02	5.040743e-03	4.186109e-04	1.000000
56622.8343125972	0.00512196759259259	-0.00512196759259259	1.614469e+00	8.312306e-02	-8.312306e-02	4.340841e-03	3.882566e-04	1.000000
56624.5070143102	0.000478819444444444	-0.000478819444444444	2.201793e+00	3.337853e-01	-3.337853e-01	2.907806e-03	1.028065e-03	1.000000
56626.7109586157	0.204868333333333	-0.204868333333333	1.561106e+00	6.499381e-02	-6.499381e-02	3.742449e-03	3.107935e-04	0.033854
56628.5736519722	0.00605060185185185	-0.00605060185185185	9.049246e-01	6.847991e-02	-6.847991e-02	3.032969e-03	2.945880e-04	1.000000
56630.1019283495	0.00486079861111111	-0.00486079861111111	9.502240e-01	8.660153e-02	-8.660153e-02	3.329792e-03	3.346567e-04	1.000000
56630.6358803634	0.0056443287037037	-0.0056443287037037	7.039194e-01	3.882357e-02	-3.882357e-02	2.664407e-03	2.942346e-04	1.000000
56631.102913037	0.00526707175925926	-0.00526707175925926	9.852895e-02	1.326449e-02	-1.326449e-02	1.003523e-03	1.244717e-04	1.000000
56631.6348933264	0.00523805555555556	-0.00523805555555556	1.050448e-01	1.221450e-02	-1.221450e-02	1.125881e-03	1.385863e-04	1.000000
56632.2362014734	0.00600707175925926	-0.00600707175925926	8.721953e-02	1.036977e-02	-1.036977e-02	1.086952e-03	1.272181e-04	1.000000
56632.7823162535	0.00571693287037037	-0.00571693287037037	3.673005e-01	2.795762e-02	-2.795762e-02	1.711796e-03	1.867723e-04	0.999991
56633.8710739387	0.375256550925926	-0.375256550925926	1.573360e+00	6.992505e-02	-6.992505e-02	9.079484e-03	4.812117e-04	0.018367
56635.401430316	0.0372222916666667	-0.0372222916666667	1.338804e+00	5.644436e-02	-5.644436e-02	4.193508e-03	3.706572e-04	0.153977
56637.3080728264	0.068857650462963	-0.068857650462963	1.298626e+00	5.744688e-02	-5.744688e-02	3.677535e-03	3.538709e-04	0.078810
56640.7203280231	0.00313412037037037	-0.00313412037037037	1.309346e+00	8.790411e-02	-8.790411e-02	2.862231e-03	3.931576e-04	1.000000
56642.3030050012	0.135718171296296	-0.135718171296296	1.341464e+00	5.628025e-02	-5.628025e-02	3.901092e-03	3.143590e-04	0.053349
56643.0803164826	0.0271569791666667	-0.0271569791666667	1.543158e+00	7.836885e-02	-7.836885e-02	3.971488e-03	3.687434e-04	0.192880
56643.2392337396	0.0057458912037037	-0.0057458912037037	1.227118e+00	6.537920e-02	-6.537920e-02	4.348951e-03	3.688732e-04	1.000000
56643.3850982535	0.00502040509259259	-0.00502040509259259	1.255603e+00	9.143591e-02	-9.143591e-02	2.531253e-03	2.942522e-04	1.000000
56643.579696228	0.00557178240740741	-0.00557178240740741	1.233660e+00	6.073888e-02	-6.073888e-02	3.324159e-03	3.169461e-04	1.000000
56643.7146628831	0.000943136574074074	-0.000943136574074074	1.556417e+00	1.983544e-01	-1.983544e-01	4.343608e-03	9.260604e-04	1.000000
56643.9729936586	0.00532511574074074	-0.00532511574074074	1.244511e+00	7.090433e-02	-7.090433e-02	3.739170e-03	3.533184e-04	0.997274
56644.0396553484	0.00532511574074074	-0.00532511574074074	1.222918e+00	5.428547e-02	-5.428547e-02	3.497611e-03	3.334841e-04	1.000000
56644.2387236817	0.00486079861111111	-0.00486079861111111	1.120509e+00	5.928744e-02	-5.928744e-02	4.003776e-03	3.983906e-04	1.000000
56644.4474354062	0.00587648148148148	-0.00587648148148148	1.307135e+00	8.157439e-02	-8.157439e-02	2.073530e-03	2.043109e-04	1.000000
56644.5109734502	0.00410628472222222	-0.00410628472222222	1.241285e+00	7.786633e-02	-7.786633e-02	3.400890e-03	3.850750e-04	1.000000
