# OGLE-IV I-band filter
# Asahi Spectra Co., Ltd
# measurements in 9 spots on the filter
#
#        1              2                 3             4         5         6         7         8         9        10        11        12              13         14
# wavelength[A]   mean_transmission  standard_dev     spot1     spot2     spot3     spot4     spot5     spot6     spot7     spot8     spot9          minimal    maximal 
#
      4003.61       0.003610          0.000983      0.002407  0.003610  0.004813  0.004813  0.003610  0.002407  0.004813  0.003610  0.002407         0.002407   0.004813
      4015.85       0.002241          0.001038      0.001186  0.002372  0.003559  0.002372  0.003559  0.001186  0.001186  0.001186  0.003559         0.001186   0.003559
      4028.09       0.002469          0.001023      0.001170  0.001170  0.003509  0.002339  0.003509  0.003509  0.002339  0.001170  0.003509         0.001170   0.003509
      4040.34       0.001796          0.001346      0.002309  0.001155  0.000000  0.001155  0.003464  0.000000  0.003464  0.001155  0.003464         0.000000   0.003464
      4052.58       0.002652          0.000758      0.001136  0.002273  0.003409  0.002273  0.002273  0.003409  0.002273  0.003409  0.003409         0.001136   0.003409
      4064.83       0.005562          0.000742      0.004449  0.005562  0.004449  0.006674  0.005562  0.005562  0.006674  0.005562  0.005562         0.004449   0.006674
      4077.08       0.003882          0.000748      0.003275  0.004367  0.004367  0.004367  0.004367  0.004367  0.004367  0.003275  0.002183         0.002183   0.004367
      4089.33       0.003435          0.000977      0.003198  0.004264  0.003198  0.002132  0.004264  0.002132  0.003198  0.003198  0.005330         0.002132   0.005330
      4101.58       0.004407          0.000820      0.004175  0.004175  0.005219  0.004175  0.004175  0.004175  0.003132  0.006263  0.004175         0.003132   0.006263
      4113.83       0.001711          0.000684      0.002053  0.002053  0.002053  0.001027  0.001027  0.002053  0.001027  0.001027  0.003080         0.001027   0.003080
      4126.09       0.002012          0.000821      0.000000  0.002012  0.002012  0.003018  0.002012  0.002012  0.002012  0.002012  0.003018         0.000000   0.003018
      4138.34       0.002520          0.000820      0.002959  0.002959  0.002959  0.000986  0.002959  0.000986  0.002959  0.002959  0.002959         0.000986   0.002959
      4150.60       0.003675          0.000891      0.004864  0.003891  0.003891  0.004864  0.003891  0.001946  0.002918  0.003891  0.002918         0.001946   0.004864
      4162.86       0.001818          0.000709      0.000962  0.001925  0.002887  0.001925  0.001925  0.002887  0.001925  0.000962  0.000962         0.000962   0.002887
      4175.12       0.002427          0.001107      0.000000  0.002849  0.001899  0.003799  0.002849  0.002849  0.001899  0.001899  0.003799         0.000000   0.003799
      4187.38       0.003101          0.000620      0.003721  0.003721  0.003721  0.001860  0.002791  0.002791  0.002791  0.003721  0.002791         0.001860   0.003721
      4199.64       0.002121          0.000429      0.001818  0.001818  0.002727  0.001818  0.002727  0.002727  0.001818  0.001818  0.001818         0.001818   0.002727
      4211.90       0.002577          0.000657      0.002676  0.003568  0.001784  0.001784  0.001784  0.003568  0.002676  0.002676  0.002676         0.001784   0.003568
      4224.17       0.001960          0.000693      0.003527  0.000882  0.001764  0.001764  0.001764  0.001764  0.001764  0.001764  0.002646         0.000882   0.003527
      4236.43       0.000684          0.000553      0.000880  0.000000  0.000880  0.000000  0.000880  0.000880  0.000880  0.000000  0.001759         0.000000   0.001759
      4248.70       0.003320          0.000805      0.003515  0.002636  0.003515  0.002636  0.003515  0.004394  0.001757  0.003515  0.004394         0.001757   0.004394
      4260.97       0.002929          0.000586      0.003515  0.003515  0.002636  0.002636  0.003515  0.002636  0.002636  0.003515  0.001757         0.001757   0.003515
      4273.24       0.002639          0.000829      0.000880  0.002639  0.002639  0.003518  0.002639  0.003518  0.003518  0.001759  0.002639         0.000880   0.003518
      4285.51       0.002643          0.000587      0.003524  0.002643  0.002643  0.002643  0.002643  0.002643  0.001762  0.003524  0.001762         0.001762   0.003524
      4297.78       0.003537          0.000589      0.003537  0.003537  0.002653  0.004421  0.004421  0.003537  0.002653  0.003537  0.003537         0.002653   0.004421
      4310.05       0.002278          0.000950      0.002674  0.001783  0.004456  0.000891  0.002674  0.001783  0.002674  0.001783  0.001783         0.000891   0.004456
      4322.32       0.002906          0.000375      0.002705  0.002705  0.002705  0.002705  0.002705  0.003607  0.002705  0.002705  0.003607         0.002705   0.003607
      4334.60       0.003044          0.000609      0.003653  0.001826  0.002740  0.003653  0.002740  0.003653  0.002740  0.003653  0.002740         0.001826   0.003653
      4346.88       0.002065          0.000852      0.002788  0.001859  0.001859  0.003717  0.000929  0.002788  0.000929  0.001859  0.001859         0.000929   0.003717
      4359.16       0.003148          0.000630      0.003777  0.002833  0.003777  0.003777  0.003777  0.001889  0.002833  0.002833  0.002833         0.001889   0.003777
      4371.44       0.001925          0.000642      0.002887  0.002887  0.001925  0.001925  0.001925  0.000962  0.001925  0.001925  0.000962         0.000962   0.002887
      4383.72       0.002392          0.000814      0.002935  0.002935  0.001957  0.001957  0.001957  0.001957  0.003914  0.000978  0.002935         0.000978   0.003914
      4396.00       0.004333          0.000667      0.005000  0.005000  0.005000  0.005000  0.003000  0.004000  0.004000  0.004000  0.004000         0.003000   0.005000
      4408.28       0.003772          0.000686      0.004115  0.003086  0.004115  0.003086  0.003086  0.004115  0.003086  0.004115  0.005144         0.003086   0.005144
      4420.57       0.004369          0.000783      0.004251  0.004251  0.003188  0.005313  0.003188  0.005313  0.004251  0.004251  0.005313         0.003188   0.005313
      4432.85       0.004212          0.000876      0.004459  0.004459  0.004459  0.004459  0.004459  0.002230  0.005574  0.004459  0.003344         0.002230   0.005574
      4445.14       0.004910          0.000914      0.004651  0.004651  0.004651  0.004651  0.003488  0.005814  0.006977  0.004651  0.004651         0.003488   0.006977
      4457.43       0.003248          0.000995      0.003654  0.003654  0.002436  0.004872  0.002436  0.003654  0.003654  0.001218  0.003654         0.001218   0.004872
      4469.72       0.003243          0.000869      0.005076  0.002538  0.002538  0.002538  0.003807  0.002538  0.003807  0.003807  0.002538         0.002538   0.005076
      4482.01       0.001623          0.000835      0.001328  0.001328  0.002656  0.000000  0.001328  0.002656  0.001328  0.001328  0.002656         0.000000   0.002656
      4494.30       0.004462          0.001262      0.004016  0.004016  0.006693  0.002677  0.004016  0.004016  0.004016  0.006693  0.004016         0.002677   0.006693
      4506.59       0.004818          0.001127      0.006775  0.005420  0.002710  0.005420  0.004065  0.004065  0.004065  0.005420  0.005420         0.002710   0.006775
      4518.89       0.004297          0.001018      0.004144  0.004144  0.004144  0.004144  0.004144  0.006906  0.004144  0.002762  0.004144         0.002762   0.006906
      4531.18       0.006164          0.001161      0.007112  0.005690  0.004267  0.005690  0.008535  0.005690  0.005690  0.007112  0.005690         0.004267   0.008535
      4543.48       0.004424          0.001833      0.006126  0.006126  0.004594  0.006126  0.006126  0.001531  0.001531  0.004594  0.003063         0.001531   0.006126
      4555.78       0.004020          0.001572      0.004934  0.001645  0.003289  0.003289  0.001645  0.004934  0.004934  0.004934  0.006579         0.001645   0.006579
      4568.08       0.005042          0.001734      0.008726  0.006981  0.003490  0.005236  0.005236  0.003490  0.003490  0.005236  0.003490         0.003490   0.008726
      4580.38       0.007850          0.001208      0.007246  0.005435  0.009058  0.009058  0.007246  0.007246  0.007246  0.009058  0.009058         0.005435   0.009058
      4592.68       0.004361          0.001970      0.003738  0.001869  0.005607  0.007477  0.005607  0.005607  0.001869  0.001869  0.005607         0.001869   0.007477
      4604.99       0.007464          0.001415      0.005758  0.005758  0.007678  0.005758  0.007678  0.007678  0.009597  0.009597  0.007678         0.005758   0.009597
      4617.29       0.008093          0.001115      0.007874  0.007874  0.007874  0.007874  0.007874  0.009843  0.009843  0.005906  0.007874         0.005906   0.009843
      4629.60       0.004444          0.001832      0.002000  0.008000  0.004000  0.004000  0.006000  0.002000  0.004000  0.004000  0.006000         0.002000   0.008000
      4641.91       0.004256          0.001142      0.006048  0.004032  0.002016  0.004032  0.004032  0.004032  0.004032  0.006048  0.004032         0.002016   0.006048
      4654.21       0.006987          0.001687      0.008114  0.006085  0.010142  0.006085  0.008114  0.004057  0.006085  0.006085  0.008114         0.004057   0.010142
      4666.52       0.010121          0.001908      0.008097  0.012146  0.012146  0.010122  0.008097  0.012146  0.008097  0.008097  0.012146         0.008097   0.012146
      4678.84       0.004889          0.000994      0.004000  0.004000  0.006000  0.006000  0.004000  0.006000  0.004000  0.006000  0.004000         0.004000   0.006000
      4691.15       0.006136          0.002170      0.005917  0.005917  0.001972  0.005917  0.003945  0.005917  0.009862  0.007890  0.007890         0.001972   0.009862
      4703.46       0.004821          0.001885      0.003945  0.007890  0.005917  0.001972  0.005917  0.003945  0.005917  0.001972  0.005917         0.001972   0.007890
      4715.78       0.009089          0.001401      0.010225  0.010225  0.008180  0.006135  0.008180  0.010225  0.010225  0.008180  0.010225         0.006135   0.010225
      4728.09       0.005948          0.001682      0.006424  0.006424  0.008565  0.004283  0.006424  0.006424  0.002141  0.006424  0.006424         0.002141   0.008565
      4740.41       0.004949          0.001400      0.004454  0.002227  0.006682  0.006682  0.004454  0.004454  0.006682  0.004454  0.004454         0.002227   0.006682
      4752.73       0.006430          0.003043      0.009259  0.002315  0.004630  0.006944  0.011574  0.006944  0.002315  0.009259  0.004630         0.002315   0.011574
      4765.05       0.006410          0.001603      0.004808  0.004808  0.007212  0.009615  0.004808  0.007212  0.004808  0.007212  0.007212         0.004808   0.009615
      4777.37       0.009796          0.002503      0.010076  0.007557  0.010076  0.007557  0.010076  0.012594  0.005038  0.012594  0.012594         0.005038   0.012594
      4789.70       0.009117          0.001756      0.010256  0.010256  0.005128  0.010256  0.007692  0.010256  0.010256  0.007692  0.010256         0.005128   0.010256
      4802.02       0.008015          0.001954      0.007463  0.009950  0.009950  0.007463  0.004975  0.009950  0.004975  0.009950  0.007463         0.004975   0.009950
      4814.34       0.006630          0.002459      0.007160  0.004773  0.009547  0.009547  0.009547  0.004773  0.007160  0.002387  0.004773         0.002387   0.009547
      4826.67       0.008605          0.000947      0.009112  0.009112  0.009112  0.009112  0.009112  0.006834  0.006834  0.009112  0.009112         0.006834   0.009112
      4839.00       0.003457          0.002368      0.000000  0.004444  0.002222  0.002222  0.002222  0.004444  0.004444  0.002222  0.008889         0.000000   0.008889
      4851.33       0.003655          0.001462      0.004386  0.002193  0.002193  0.004386  0.004386  0.006579  0.002193  0.004386  0.002193         0.002193   0.006579
      4863.66       0.008041          0.002068      0.010965  0.004386  0.008772  0.008772  0.004386  0.008772  0.008772  0.008772  0.008772         0.004386   0.010965
      4875.99       0.004329          0.001767      0.004329  0.004329  0.006494  0.002165  0.006494  0.002165  0.004329  0.006494  0.002165         0.002165   0.006494
      4888.32       0.011462          0.001750      0.008421  0.008421  0.012632  0.010526  0.012632  0.012632  0.012632  0.012632  0.012632         0.008421   0.012632
      4900.66       0.006761          0.001352      0.006085  0.006085  0.008114  0.004057  0.006085  0.006085  0.008114  0.008114  0.008114         0.004057   0.008114
      4912.99       0.005693          0.001789      0.005693  0.005693  0.003795  0.003795  0.005693  0.009488  0.007590  0.003795  0.005693         0.003795   0.009488
      4925.33       0.006086          0.000878      0.005300  0.007067  0.007067  0.007067  0.005300  0.005300  0.007067  0.005300  0.005300         0.005300   0.007067
      4937.67       0.005211          0.000949      0.005025  0.006700  0.006700  0.005025  0.005025  0.005025  0.003350  0.005025  0.005025         0.003350   0.006700
      4950.01       0.006093          0.001267      0.004839  0.006452  0.004839  0.006452  0.006452  0.004839  0.008065  0.004839  0.008065         0.004839   0.008065
      4962.35       0.004923          0.000497      0.004747  0.004747  0.004747  0.004747  0.004747  0.006329  0.004747  0.004747  0.004747         0.004747   0.006329
      4974.69       0.005512          0.001482      0.004651  0.004651  0.006202  0.003101  0.007752  0.004651  0.006202  0.004651  0.007752         0.003101   0.007752
      4987.03       0.006663          0.001027      0.005997  0.004498  0.007496  0.007496  0.007496  0.007496  0.007496  0.005997  0.005997         0.004498   0.007496
      4999.38       0.001288          0.000821      0.002899  0.001449  0.001449  0.000000  0.001449  0.000000  0.001449  0.001449  0.001449         0.000000   0.002899
      5011.72       0.004268          0.001011      0.004115  0.005487  0.004115  0.002743  0.002743  0.005487  0.004115  0.004115  0.005487         0.002743   0.005487
      5024.07       0.003191          0.001085      0.005222  0.002611  0.002611  0.002611  0.003916  0.003916  0.002611  0.003916  0.001305         0.001305   0.005222
      5036.42       0.004670          0.000971      0.004944  0.004944  0.003708  0.004944  0.002472  0.006180  0.004944  0.004944  0.004944         0.002472   0.006180
      5048.77       0.004274          0.000549      0.004662  0.003497  0.004662  0.004662  0.004662  0.004662  0.003497  0.004662  0.003497         0.003497   0.004662
      5061.12       0.005635          0.001319      0.006615  0.005513  0.006615  0.007718  0.006615  0.004410  0.003308  0.004410  0.005513         0.003308   0.007718
      5073.47       0.004673          0.000523      0.005258  0.005258  0.005258  0.004206  0.004206  0.004206  0.004206  0.004206  0.005258         0.004206   0.005258
      5085.83       0.002124          0.000880      0.001006  0.003018  0.003018  0.003018  0.001006  0.003018  0.001006  0.002012  0.002012         0.001006   0.003018
      5098.18       0.004542          0.000597      0.004753  0.004753  0.004753  0.003802  0.003802  0.004753  0.005703  0.003802  0.004753         0.003802   0.005703
      5110.54       0.001803          0.000425      0.001803  0.001803  0.002705  0.000902  0.001803  0.001803  0.001803  0.001803  0.001803         0.000902   0.002705
      5122.89       0.003324          0.000940      0.003419  0.001709  0.003419  0.003419  0.002564  0.005128  0.004274  0.003419  0.002564         0.001709   0.005128
      5135.25       0.004757          0.000595      0.004039  0.004847  0.004847  0.004847  0.004039  0.004039  0.004847  0.005654  0.005654         0.004039   0.005654
      5147.61       0.002138          0.000320      0.001540  0.002309  0.002309  0.002309  0.002309  0.002309  0.002309  0.002309  0.001540         0.001540   0.002309
