# Quantum efficiency curve for
# e2v CCD44-82 with Astro Process Broadband Coating
# from the manufacturer's manual
# This kind of chips are used in OGLE-IV camera
# however the true measured QEs differ from those
#
#    1        2
# Angstroms  QE
#
3032.08   0.401664
3064.94   0.416844
3112.39   0.439943
3166.23   0.463702
3218.25   0.486141
3265.71    0.50396
3353.31   0.534978
3419.02   0.554778
3479.25   0.570617
3517.58   0.583816
3572.33   0.610875
3616.14   0.633974
3652.64   0.653773
3702.83   0.682812
3732.95   0.702611
3770.37    0.72505
3782.23    0.73165
3835.16   0.756069
3875.31   0.768608
3941.02   0.788407
3992.12   0.802927
4105.28   0.828006
4163.69   0.833286
4225.74   0.837245
4306.05   0.843185
4375.41   0.846485
   4505   0.846485
4561.58   0.845825
4609.03   0.845165
4678.39   0.843845
4912.01   0.839885
4981.36    0.83741
5054.37   0.833121
5171.18   0.828006
 5317.2   0.820911
 5404.8   0.818931
5492.41   0.813651
5572.72   0.810846
5733.33   0.803092
5864.75   0.797647
5981.56   0.793687
6149.47   0.787088
6258.98   0.784448
6346.59   0.781808
6397.69   0.779828
6561.05   0.773228
6682.42   0.768608
6780.98   0.764648
6967.15   0.757389
7054.76   0.754089
7124.11   0.751449
7215.37   0.747489
7368.68    0.74023
7456.29    0.73561
 7565.8    0.72901
7627.86    0.72505
7762.92   0.714491
7872.43   0.704591
7985.59   0.693372
8025.74   0.688752
8171.76   0.669283
8252.07   0.657073
8372.53   0.635954
8427.28   0.625395
8565.99   0.595036
8657.25   0.573092
8726.61   0.554778
8828.82   0.526399
8901.83   0.503795
8963.88   0.484161
9051.49   0.454462
9128.15   0.427403
 9182.9   0.407439
9259.56    0.37972
9332.56   0.352001
9383.67   0.332367
9463.98   0.301349
9569.84    0.26109
9653.79   0.229412
9705.81   0.210273
9770.61   0.187174
9858.21   0.156815
9923.92   0.135696
9978.67   0.119197
10091.8  0.0875179
10153.9  0.0721736
10219.6  0.0578192
10299.9  0.0431349
10448.7  0.0223458
10540.8  0.0129412
10635.7 0.00683644
  10716 0.00337159
10787.2 0.00172166
