# OGLE-IV V-band filter
# Asahi Spectra Co., Ltd
# measurements in 9 spots on the filter
#
#        1              2                 3             4         5         6         7         8         9        10        11        12              13         14
# wavelength[A]   mean_transmission  standard_dev     spot1     spot2     spot3     spot4     spot5     spot6     spot7     spot8     spot9          minimal    maximal 
#
      4003.61       0.004906          0.000880      0.004773  0.004773  0.004773  0.004773  0.004773  0.004773  0.004773  0.003580  0.007160         0.003580   0.007160
      4015.85       0.005471          0.000782      0.004689  0.005862  0.004689  0.005862  0.005862  0.005862  0.004689  0.004689  0.007034         0.004689   0.007034
      4028.09       0.003871          0.000548      0.003484  0.003484  0.004646  0.003484  0.003484  0.003484  0.003484  0.004646  0.004646         0.003484   0.004646
      4040.34       0.004709          0.001002      0.005727  0.005727  0.003436  0.005727  0.005727  0.004582  0.003436  0.003436  0.004582         0.003436   0.005727
      4052.58       0.003013          0.000753      0.002260  0.002260  0.002260  0.003390  0.003390  0.004520  0.003390  0.003390  0.002260         0.002260   0.004520
      4064.83       0.003810          0.000550      0.003319  0.003319  0.004425  0.004425  0.004425  0.003319  0.004425  0.003319  0.003319         0.003319   0.004425
      4077.08       0.002654          0.001038      0.003257  0.001086  0.002172  0.001086  0.004343  0.003257  0.003257  0.003257  0.002172         0.001086   0.004343
      4089.33       0.003783          0.000885      0.004255  0.005319  0.003191  0.004255  0.004255  0.002128  0.003191  0.004255  0.003191         0.002128   0.005319
      4101.58       0.003353          0.000818      0.002081  0.004162  0.004162  0.004162  0.003122  0.003122  0.003122  0.004162  0.002081         0.002081   0.004162
      4113.83       0.004747          0.000678      0.004069  0.005086  0.003052  0.005086  0.005086  0.005086  0.005086  0.005086  0.005086         0.003052   0.005086
      4126.09       0.004422          0.001251      0.002985  0.004975  0.001990  0.003980  0.005970  0.004975  0.005970  0.004975  0.003980         0.001990   0.005970
      4138.34       0.004152          0.000618      0.002950  0.004916  0.004916  0.004916  0.003933  0.003933  0.003933  0.003933  0.003933         0.002950   0.004916
      4150.60       0.003553          0.000457      0.002907  0.002907  0.003876  0.003876  0.003876  0.003876  0.003876  0.003876  0.002907         0.002907   0.003876
      4162.86       0.002863          0.000450      0.001908  0.002863  0.003817  0.002863  0.002863  0.002863  0.002863  0.002863  0.002863         0.001908   0.003817
      4175.12       0.003142          0.000444      0.003770  0.002828  0.002828  0.002828  0.003770  0.002828  0.002828  0.002828  0.003770         0.002828   0.003770
      4187.38       0.004835          0.000582      0.004630  0.004630  0.005556  0.004630  0.005556  0.004630  0.005556  0.004630  0.003704         0.003704   0.005556
      4199.64       0.002011          0.000569      0.001810  0.002715  0.000905  0.001810  0.002715  0.001810  0.001810  0.002715  0.001810         0.000905   0.002715
      4211.90       0.002960          0.000837      0.003552  0.002664  0.002664  0.002664  0.003552  0.003552  0.001776  0.004441  0.001776         0.001776   0.004441
      4224.17       0.003798          0.000826      0.002629  0.004382  0.002629  0.004382  0.004382  0.003506  0.005259  0.003506  0.003506         0.002629   0.005259
