A B $log(f)$
4.538749709930822718e-01 1.819949419412905911e+01 -2.138043850973220472e+00
2.656255124777455734e-01 2.542994640954391627e+01 -1.497875513001339698e+00
4.228196195066580287e-01 1.939123729202171376e+01 -1.933367455593765882e+00
3.938596200211677001e-01 2.061531704018037914e+01 -1.997911465309844203e+00
5.673312855161150026e-01 1.392300585793718426e+01 -2.385465465196786816e+00
6.643436381549001624e-01 9.993985710780137310e+00 -1.234419810602295442e+00
5.605022402411421467e-01 1.423011256202031660e+01 -1.753733732304098680e+00
4.369153636610949576e-01 1.894242767694166218e+01 -1.863118693656385716e+00
5.565711791656013929e-01 1.428966667417461167e+01 -2.430742664378071183e+00
1.210723556404591505e-01 3.120271623107144876e+01 -1.349201132283209148e+00
3.998280395934123987e-01 2.031866668700569534e+01 -1.917972848733398905e+00
4.541605542725015709e-01 1.824658506672643909e+01 -2.004679130183061986e+00
5.102170318322318820e-01 1.599686803140599523e+01 -2.313930527661058889e+00
5.226251848745437911e-01 1.565168894970481972e+01 -1.884002263054091131e+00
4.393959321156888365e-01 1.879182183542401674e+01 -2.409885527595911014e+00
4.940380959441892372e-01 1.664385647484800757e+01 -2.153159493283574477e+00
5.818022693973485815e-01 1.337091691354891765e+01 -1.866268417462059404e+00
5.592048352266267841e-01 1.415455088993407173e+01 -1.663137658137799235e+00
4.349268257883753819e-01 1.886884771829825524e+01 -1.467885738712961796e+00
6.392735763000345628e-01 1.107655430161926091e+01 -2.041845816043476702e+00
4.317308069847278773e-01 1.892147344177102752e+01 -1.558683551931297373e+00
4.524403385383735099e-01 1.826294600795524303e+01 -2.017951027243625184e+00
3.891256777232126041e-01 2.069718367944769710e+01 -1.797689985198935858e+00
4.247703247280725236e-01 1.937075244714016264e+01 -2.371917806779909377e+00
4.812498138936547321e-01 1.716806949466053567e+01 -2.061473552490635797e+00
5.207462711207426764e-01 1.582311200792084094e+01 -1.343778103322129880e+00
4.889822758633481925e-01 1.681874793104834964e+01 -1.718046768055875972e+00
6.262045604921446795e-01 1.155960930919265195e+01 -1.598087537458216190e+00
3.165070790647899202e-01 2.350248203192617780e+01 -2.026046762728936912e+00
3.997774143052481577e-01 2.026188746253559003e+01 -2.394580396943963407e+00
4.262610224232528111e-01 1.929290929359389395e+01 -1.837029228422663252e+00
4.169830079333216588e-01 1.965942082740632912e+01 -2.055241742171530106e+00
5.880153319648862009e-01 1.276605655797152394e+01 -4.262761276709525760e-02
4.633110224247598552e-01 1.801689374694017687e+01 -1.404797210851143063e+00
2.365358546997704536e-01 2.664488560568310049e+01 -1.785399906757056954e+00
5.292358211306353866e-01 1.532741353444560417e+01 -2.243940321477275290e+00
3.206597555737662475e-01 2.355701403252773218e+01 -1.216737716795709190e+00
4.746060240208009873e-01 1.736883353667962382e+01 -2.180318503900338989e+00
6.519922141771985480e-01 1.066769981151276170e+01 -1.997005322718683473e+00
3.657294421163204134e-01 2.161269973318329818e+01 -2.193799532581858003e+00
6.697105630309003743e-01 9.776449147683159424e+00 -1.066847623473751838e+00
3.195629479239450177e-01 2.342950222997934162e+01 -2.315551664933122034e+00
5.371526036391855996e-01 1.500881899876927150e+01 -1.561181025952690149e+00
4.670956051749861615e-01 1.779221238698426077e+01 -1.853009130618733735e+00
3.559442351436530316e-01 2.213026765176575594e+01 -2.368726446007134001e+00
5.743731694677194355e-01 1.343927037712175832e+01 -1.805478535497627490e+00
3.717957386355426053e-01 2.145663241422770540e+01 -1.731329693890479859e+00
3.120693842561355069e-01 2.387427205746708125e+01 -1.355521735941628947e+00
5.595710606860855307e-01 1.412134408805155061e+01 -1.593020217913643677e+00
2.166535219585696836e-01 2.735941002144686252e+01 -1.601308422065786274e+00
5.936406104313931564e-01 1.285619017170652967e+01 -1.818958658525200889e+00
5.072032062197635582e-01 1.617423211474807232e+01 -2.290162049345020989e+00
6.053021877053623712e-01 1.236901246224473994e+01 -1.952767091470965610e+00
3.502185672740942834e-01 2.231074276001999124e+01 -1.961202458322139464e+00
4.297780837066795812e-01 1.927692970348269341e+01 -1.561081312231960894e+00
4.070246749253527696e-01 2.009024170076392579e+01 -2.273494541629040633e+00
7.265390483687070855e-01 7.756892937873317351e+00 -1.909786418316180345e+00
6.446107027044174487e-01 1.075842998026125485e+01 -1.706635601020753512e+00
2.984542804429786145e-01 2.421206368897821903e+01 -1.383162592698143456e+00
3.387648883750387085e-01 2.262267388408681512e+01 -1.145954249264464764e+00
4.161224718568377057e-01 1.970611422925664158e+01 -1.729266766703673852e+00
3.206597555737662475e-01 2.355701403252773218e+01 -1.216737716795709190e+00
4.859857852150266666e-01 1.702377351727462695e+01 -2.414908839704005494e+00
3.891256777232126041e-01 2.069718367944769710e+01 -1.797689985198935858e+00
4.565055064650973549e-01 1.800507109702146380e+01 -1.846693287385432924e+00
3.697791113455632939e-01 2.139729915860070264e+01 -1.524299101411552115e+00
3.883803357882911200e-01 2.079637236592794380e+01 -2.188586772332055119e+00
5.052477535241486351e-01 1.626317506959389192e+01 -2.076146451982543439e+00
3.259559258621749223e-01 2.325879476003546387e+01 -1.662079887415963242e+00
2.086345484900995473e-01 2.777398409185842354e+01 -1.683261133707503632e+00
-1.449584373505885537e-02 3.627965523039185314e+01 -1.411796654746485302e+00
4.694028616864738268e-01 1.763184457950479356e+01 -2.391186134599577962e+00
4.094329523775144253e-01 1.998589779729375238e+01 -2.193439293606369134e+00
6.130421224349227316e-01 1.209363415136338205e+01 -1.702703268510139978e+00
6.572620559937707441e-01 1.032428208223333144e+01 -2.257170060395784716e+00
6.283581965821145587e-01 1.147281446462125132e+01 -2.089069453228064255e+00
3.767772287234105733e-01 2.128716644333160701e+01 -2.010161638580228782e+00
4.436208968017645304e-01 1.861822557052658311e+01 -2.525326893636741232e+00
4.171125101146309078e-01 1.967266729555522886e+01 -1.561844345843990567e+00
3.524644183994354307e-01 2.230258828926653791e+01 -1.456578624410486356e+00
7.802707442490497414e-01 5.923201132678485692e+00 -8.721843277526613036e-01
5.074065666754279391e-01 1.620476268100857453e+01 -2.060174385166543054e+00
5.604822723988895916e-01 1.404661876571259427e+01 -2.152149302969982969e+00
3.529969147048355183e-01 2.212202895023472138e+01 -1.708437363967474809e+00
5.891447032378511750e-01 1.292186170721662819e+01 -1.304239344903074027e+00
5.281836243097810524e-01 1.530531966432085511e+01 -2.056621694477280826e+00
6.879942458462924293e-01 9.162992919321084173e+00 -1.816190616808478708e+00
2.371715596989929509e-01 2.660831846285111624e+01 -1.783067642987095525e+00
9.089169182957519411e-01 6.047105262677661131e-01 -1.782377011544634016e+00
5.183141652345764072e-01 1.554087810846301210e+01 -1.504484101615654268e+00
4.098442458370339381e-01 1.995877704840470557e+01 -8.287782423604177495e-01
9.381243128106930840e-02 3.227494133876673743e+01 -1.365602932399955449e+00
3.202906135485221739e-01 2.346030581265043224e+01 -2.341252387880750518e+00
4.084869351598428011e-01 1.993701815843664349e+01 -2.145184408822596644e+00
5.492838157158672630e-01 1.448842208463405257e+01 -1.439897309126706659e+00
4.350584595547619671e-01 1.892065987152045636e+01 -1.658070411625034879e+00
4.056242248772647940e-01 2.010550283386414350e+01 -1.348149126853739332e+00
4.725305726449633426e-01 1.751883221538484037e+01 -2.281141847036294301e+00
2.869535521586730198e-01 2.476868713949312450e+01 -2.237613941778856308e+00
6.801927659243851565e-01 9.514594005651559883e+00 -1.624079020671016949e+00
4.684223786036501025e-01 1.767031130478467560e+01 -2.069843319485809907e+00
5.007610711872167997e-01 1.639830962484903409e+01 -1.325009417447493121e+00
4.914505962532160765e-01 1.686083408311149867e+01 -2.182060546035550885e+00
4.594967455661951306e-01 1.806583872477179398e+01 -2.414878677511465455e+00
3.581624170354942294e-01 2.195302485684590010e+01 -1.496487400393139211e+00
4.658155467157456542e-01 1.778338885062940022e+01 -2.400071119565194699e+00
4.630092454943230962e-01 1.776380759914260921e+01 -1.974980126778248746e+00
5.131711979584459016e-01 1.598287883042171842e+01 -2.140268953775938066e+00
2.636179312959789911e-01 2.578953966446523793e+01 -1.661229244855858767e+00
4.457878155562724487e-01 1.864215073493252106e+01 -1.759693230594303159e+00
3.798156071186653548e-01 2.111322617355496334e+01 -2.302413606062722273e+00
4.350584595547619671e-01 1.892065987152045636e+01 -1.658070411625034879e+00
4.256729313056712982e-01 1.946233109145189388e+01 -1.377415898852955678e+00
6.273061658782239647e-01 1.142792195372184949e+01 -1.714177414225266816e+00
2.594818367085593991e-01 2.592570525676860882e+01 -1.440050863176674412e+00
3.734340711488943754e-01 2.145179669883930984e+01 -1.277043073685156571e+00
3.566154884681580484e-01 2.201657081484430023e+01 -2.090906353568690257e+00
2.942617225409520643e-01 2.428613709128634923e+01 -1.524966594423561972e+00
3.165070790647899202e-01 2.350248203192617780e+01 -2.026046762728936912e+00
9.163263426907857223e-01 5.521889130772592580e-01 -8.062903607104416892e-01
3.101901313860526699e-01 2.385147876672999701e+01 -1.991588713979680847e+00
3.527241510575116479e-01 2.209152863510445286e+01 -2.132701268218031743e+00
4.422453525398353236e-01 1.875857126579969503e+01 -2.170382073564387504e+00
5.397882313800899112e-01 1.487336571678766717e+01 -2.269118967182784274e+00
5.378925405694516826e-01 1.502571342141946786e+01 -1.926238107851542480e+00
7.348521736977708940e-02 3.289467372515082388e+01 -1.395925671391504252e+00
4.234253025533369907e-01 1.946476680255187830e+01 -1.862903028911642167e+00
3.946820049036823264e-01 2.054991618147010257e+01 -2.435322401372721046e+00
2.426833447336598226e-01 2.644007553269160837e+01 -1.618632764186564543e+00
4.274441553836982877e-01 1.921180483253407800e+01 -2.156803655958392518e+00
4.266683452606034876e-01 1.939434506668600733e+01 -2.126950141250971704e+00
3.445932469631358686e-01 2.219680902879028395e+01 -8.821336136449335896e-01
3.106955518586751452e-01 2.357406035005205780e+01 -1.324641783435993148e+00
6.262045604921446795e-01 1.155960930919265195e+01 -1.598087537458216190e+00
5.419292353984150878e-01 1.487426632681753347e+01 -2.463579910034642495e+00
4.865182046591964848e-01 1.693264942828971442e+01 -1.797093196696133433e+00
4.242215862853591091e-01 1.932602538944429682e+01 -2.313592848330524809e+00
6.396852239439319021e-01 1.095621085280274798e+01 -1.073256534912777838e+00
7.927923637820448732e-01 5.242768485411126278e+00 -1.497315990632264615e+00
5.424032909852520845e-01 1.482961854136668478e+01 -2.030037628962837459e+00
3.518659392250675921e-01 2.220457780048660368e+01 -2.645349832051806516e+00
4.575904506617938239e-01 1.812488537420005486e+01 -2.044073019719323980e+00
4.408821436788237236e-01 1.873724590490031261e+01 -2.245034863888706766e+00
1.114640790876379128e+00 -7.335764601391957740e+00 -1.167944829141196905e+00
3.613206351392523885e-01 2.194461195600447923e+01 -1.397582584823053864e+00
5.616765636151388463e-01 1.405192060153019185e+01 -2.202497022386873837e+00
-7.621634754640460585e-02 3.876614866371571111e+01 -1.423164816973894631e+00
4.987015872450974996e-01 1.653748792255129274e+01 -1.870048173005807612e+00
3.699147624862177963e-01 2.149006448931781676e+01 -1.425108012350875697e+00
1.174545098316670533e-02 3.552471409939478519e+01 -1.007197331734072776e+00
4.415759278801196785e-01 1.874521699107727812e+01 -2.121323139421321891e+00
5.706126994354292492e-01 1.372877531232394688e+01 -2.495813168935320014e+00
4.037049353589949874e-01 2.016116812220097643e+01 -2.291128012418132798e+00
5.005160882480907958e-01 1.638155050448162342e+01 -1.935579620567922987e+00
3.442233040543456468e-01 2.244460286281737638e+01 -1.901927111994451636e+00
4.217397078123994447e-01 1.946019787935785672e+01 -2.397617995922992407e+00
3.753563657248744079e-01 2.120643952219079154e+01 -2.007935141888497199e+00
4.696796103705676018e-01 1.761865408309786574e+01 -1.994683611612577678e+00
3.604729880053234581e-01 2.189406911846649706e+01 -1.735597072886822190e+00
2.534699220350074000e-01 2.589570680885830711e+01 -1.689847738316737846e+00
4.691587406109558600e-01 1.764307243788984181e+01 -2.072105741392526568e+00
3.072516570742465092e-01 2.383594354425555650e+01 -1.991291143088428583e+00
4.159950661905469360e-01 1.975203309387001838e+01 -2.381475539828490362e+00
5.163434908597999140e-01 1.589134537340158460e+01 -1.790157262725028176e+00
6.468338989979489639e-01 1.072753219367846356e+01 -2.056557053644204380e+00
4.925935714573661528e-01 1.673481453871714564e+01 -2.200436699707980281e+00
5.877901748134721771e-01 1.298761923315240097e+01 -2.057583180010766455e+00
7.701690027831080698e-01 5.982347404860981044e+00 -1.504831399941656045e+00
4.320248634843082414e-01 1.909337028221954569e+01 -1.726921559723150423e+00
4.700673157970118865e-01 1.761847475179435207e+01 -1.403732989884799665e+00
1.961966913493071729e-01 2.830005521376666877e+01 -1.833074772127318397e+00
6.459922123419126194e-01 1.074193440786790177e+01 -2.321355017915540664e+00
6.109710912995165444e-01 1.218684065637524583e+01 -1.943830520792307226e+00
7.361418660605743014e-01 7.338402585093248831e+00 -1.778165027252637032e+00
4.129735638576992329e-01 1.983538754690937367e+01 -2.682522577027834032e+00
1.658137317260184318e-01 2.928311084583978641e+01 -1.599735546810775233e+00
5.374732535192627836e-01 1.506916428438514544e+01 -2.073260544228810787e+00
4.824705976140037933e-01 1.717233774441882588e+01 -2.189859559961776725e+00
3.720759540956528610e-01 2.145363161168098998e+01 -2.141492719393591315e+00
5.860137398479068338e-01 1.313423133615908966e+01 -1.119725458685170594e+00
4.478148977045304235e-01 1.838787282989400040e+01 -1.754179766411589014e+00
5.676120837297062849e-01 1.400149865169743890e+01 -1.682068609669117976e+00
2.602628092945398208e-01 2.576137607703556398e+01 -1.896698627282640714e+00
7.894756131810893862e-01 5.182003027719332522e+00 -1.620606816089555480e+00
3.514568521180798655e-01 2.225868869673596606e+01 -1.586171208820640999e+00
1.272467396464804779e-01 3.092467079954808185e+01 -1.066476712034070573e+00
