logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -8.720929829549667835e+08 -8.720929889476810694e+08 1.600000000000000033e-01
-8.720929889476810694e+08 nan -2.500000000000000052e-03 4.000000000000000000e+02 -7.791085016812672615e+08 -7.791085076764816046e+08 2.550000000000000044e-01
-7.791085076764816046e+08 nan -5.000000000000000104e-03 4.000000000000000000e+02 -7.451626541996842623e+08 -7.451626601973985434e+08 1.264999999999999902e+00
-7.451626601973985434e+08 nan -7.499999999999999722e-03 4.000000000000000000e+02 -7.182699586214323044e+08 -7.182699646216466427e+08 5.400000000000000355e-01
-7.182699646216466427e+08 1.877658514345422760e+07 -1.000000000000000021e-02 4.000000000000000000e+02 -7.117957243468700647e+08 -7.117957303495843410e+08 1.000000000000000021e-02
-7.117957303495843410e+08 3.191839866675938480e+06 -1.250000000000000069e-02 4.000000000000000000e+02 -7.056206696880360842e+08 -7.056206756932504177e+08 2.550000000000000044e-01
-7.056206756932504177e+08 5.045406176542584784e+06 -1.500000000000000118e-02 4.000000000000000000e+02 -6.977444859800366163e+08 -6.977444919877508879e+08 2.999999999999999889e-02
-6.977444919877508879e+08 7.921561631700684316e+06 -1.750000000000000167e-02 4.000000000000000000e+02 -6.798274925764029026e+08 -6.798274985866172314e+08 1.479999999999999982e+00
-6.798274985866172314e+08 1.414449206075707637e+07 -2.000000000000000042e-02 4.000000000000000000e+02 -6.591745710358364582e+08 -6.591745770485507250e+08 3.699999999999999956e-01
-6.591745770485507250e+08 1.909104421810566261e+07 -2.249999999999999917e-02 4.000000000000000000e+02 -6.582226867325282097e+08 -6.582226927477425337e+08 1.689999999999999947e+00
-6.582226927477425337e+08 1.539350195283676870e+07 -2.499999999999999792e-02 4.000000000000000000e+02 -6.526043750163712502e+08 -6.526043810340855122e+08 4.400000000000000022e-01
-6.526043810340855122e+08 7.341095107047434896e+06 -2.749999999999999667e-02 4.000000000000000000e+02 -6.507233175564975739e+08 -6.507233235767118931e+08 1.500000000000000000e+00
-6.507233235767118931e+08 6.036275753427225998e-01 -2.999999999999999542e-02 4.000000000000000000e+02 -6.466250901557319164e+08 -6.466250961784461737e+08 7.700000000000000178e-01
-6.466250961784461737e+08 1.931922790323725669e+06 -3.249999999999999417e-02 4.000000000000000000e+02 -6.385629240342329741e+08 -6.385629300594472885e+08 6.350000000000000089e-01
-6.385629300594472885e+08 4.531911127640729770e+06 -3.499999999999999639e-02 4.000000000000000000e+02 -6.383392086299986839e+08 -6.383392146577129364e+08 2.949999999999999845e-01
-6.383392146577129364e+08 1.054605846336125396e+05 -3.749999999999999861e-02 4.000000000000000000e+02 -6.356187246250479221e+08 -6.356187306552622318e+08 1.799999999999999933e-01
-6.356187306552622318e+08 1.336739284030920826e+06 -4.000000000000000083e-02 4.000000000000000000e+02 -6.297725046056884527e+08 -6.297725106384027004e+08 1.544999999999999929e+00
-6.297725106384027004e+08 2.178757719652123749e+06 -4.250000000000000305e-02 4.000000000000000000e+02 -6.243284734400905371e+08 -6.243284794753048420e+08 1.135000000000000009e+00
-6.243284794753048420e+08 1.504650507246823749e+06 -4.500000000000000527e-02 4.000000000000000000e+02 -6.205706490493013859e+08 -6.205706550870156288e+08 9.200000000000000400e-01
-6.205706550870156288e+08 1.878911419853755971e+06 -4.750000000000000749e-02 4.000000000000000000e+02 -6.061655101792409420e+08 -6.061655162194552422e+08 1.729999999999999982e+00
-6.061655162194552422e+08 7.294262665301615372e+06 -5.000000000000000971e-02 4.000000000000000000e+02 -6.048012686558145285e+08 -6.048012746985287666e+08 4.949999999999999956e-01
-6.048012746985287666e+08 6.539719152182091027e+06 -5.250000000000001193e-02 4.000000000000000000e+02 -6.013534490391461849e+08 -6.013534550843604803e+08 7.550000000000000044e-01
-6.013534550843604803e+08 5.170485903498736210e+06 -5.500000000000001416e-02 4.000000000000000000e+02 -5.905831447360538244e+08 -5.905831507837680578e+08 1.549999999999999989e-01
