weight logl A B $log(f)$
0.000000000000000000e+00 -8.720929829549667835e+08 -9.827164719672364157e+00 -3.197540417896590270e+01 -5.403839658891841147e+00
0.000000000000000000e+00 -7.791085016812672615e+08 -9.596055730739630363e+00 -8.440550871285942947e+00 -8.778858163736138920e+00
0.000000000000000000e+00 -7.451626541996842623e+08 -9.389351691376175424e+00 -3.551005131568039985e+01 -4.736914458539121853e+00
0.000000000000000000e+00 -7.182699586214323044e+08 -9.697028509959604747e+00 1.205471780907372903e+01 -8.751495655496464465e+00
0.000000000000000000e+00 -7.117957243468700647e+08 -8.501462654833263244e+00 -3.247434330864760454e+01 -9.686748129434288757e+00
0.000000000000000000e+00 -7.056206696880360842e+08 -8.641359311194809933e+00 -2.532467146245009459e+01 -9.200894744573014705e+00
0.000000000000000000e+00 -6.977444859800366163e+08 -8.713118760649612327e+00 -2.845603666479329164e+01 -5.361415095236450767e+00
0.000000000000000000e+00 -6.798274925764029026e+08 -8.752857961608881965e+00 -1.390639637698418696e+01 -7.180541587424981387e+00
0.000000000000000000e+00 -6.591745710358364582e+08 -9.288717396903773960e+00 1.299541409270504744e+01 -8.076910338693544134e+00
0.000000000000000000e+00 -6.582226867325282097e+08 -8.562232749959949984e+00 -1.505670401891261179e+01 -7.198052410292445913e+00
0.000000000000000000e+00 -6.526043750163712502e+08 -8.785609911754860946e+00 -1.359545474586307989e+01 -5.290885023591677339e+00
0.000000000000000000e+00 -6.507233175564975739e+08 -9.580943859714034616e+00 2.565780122634519955e+01 -6.323938180421958322e+00
0.000000000000000000e+00 -6.466250901557319164e+08 -9.531304895481671480e+00 1.079367110104902849e+01 -5.018958630026444823e+00
0.000000000000000000e+00 -6.385629240342329741e+08 -8.949242877183358758e+00 5.901935841653852322e+00 -9.268356793999096510e+00
0.000000000000000000e+00 -6.383392086299986839e+08 -8.761334136212733270e+00 -2.643378483943962465e+00 -6.251162758908944461e+00
0.000000000000000000e+00 -6.356187246250479221e+08 -8.395548538702721331e+00 -1.661619305180405348e+01 -6.063830585952183938e+00
0.000000000000000000e+00 -6.297725046056884527e+08 9.869813487719547140e+00 2.748583758507228936e+01 -9.321399468774009378e+00
0.000000000000000000e+00 -6.243284734400905371e+08 -9.433962961255899060e+00 2.885698875475942771e+01 -7.790956562561293985e+00
0.000000000000000000e+00 -6.205706490493013859e+08 -8.692726242509994705e+00 -5.215916433821867315e+00 -5.443648054863711394e+00
0.000000000000000000e+00 -6.061655101792409420e+08 -9.248667882018583697e+00 -3.986952129079067930e+01 -4.212313688347776086e+00
0.000000000000000000e+00 -6.048012686558145285e+08 -9.411030053665443873e+00 3.384870051187564854e+01 -7.847634363122652168e+00
0.000000000000000000e+00 -6.013534490391461849e+08 -8.771560528504952714e+00 1.851763351020565551e-01 -5.219700601744865054e+00
0.000000000000000000e+00 -5.905831447360538244e+08 -9.583304144534320557e+00 2.999403214267849194e+01 -5.008654776206951986e+00
0.000000000000000000e+00 -5.734279992761099339e+08 -8.176786874150838713e+00 -1.690423405070408336e+01 -5.087764222218719823e+00
0.000000000000000000e+00 -5.694313803443695307e+08 -9.143489295103480075e+00 3.440906844572796786e+01 -8.813474960719576146e+00
0.000000000000000000e+00 -5.683652625316516161e+08 -8.258411438946101413e+00 3.950361767522281298e-01 -7.894200004156085804e+00
0.000000000000000000e+00 -5.559622045688028336e+08 -7.401596807117012844e+00 -2.887609273364166285e+01 -8.842043775025397068e+00
0.000000000000000000e+00 -5.487325653108633757e+08 -8.829180357295214776e+00 2.670593224640548158e+01 -5.995438396737771569e+00
0.000000000000000000e+00 -5.448489225737315416e+08 -7.453139330855313993e+00 -2.334241724598964396e+01 -9.250280475760215282e+00
0.000000000000000000e+00 -5.408437734539974928e+08 9.449498087495733500e+00 1.635986063775390420e+01 -8.605263198914498091e+00
0.000000000000000000e+00 -5.393288797711958885e+08 -8.807531835473385584e+00 3.091240623275874100e+01 -8.452460112003006287e+00
0.000000000000000000e+00 -5.333380870494237542e+08 -8.908709595116185653e+00 3.153952867041640218e+01 -5.516671521992172700e+00
0.000000000000000000e+00 -5.259558522249590158e+08 9.990142683519188438e+00 -9.401339531690851459e+00 -8.509540012995522318e+00
0.000000000000000000e+00 -5.196744375718565583e+08 -7.691370256814265005e+00 -6.877806957562000889e+00 -6.390619263747567835e+00
0.000000000000000000e+00 -5.172639555925499201e+08 -8.487428932265522974e+00 2.555926111594982331e+01 -7.410296485410144740e+00
0.000000000000000000e+00 -5.132601801078597307e+08 -8.222936374899367351e+00 -9.542580476785644805e+00 -4.676482073452464583e+00
0.000000000000000000e+00 -5.114223143008279800e+08 9.192500372197820013e+00 1.694881819227629194e+01 -7.137657359339197427e+00
0.000000000000000000e+00 -5.094522808272972107e+08 -7.625556866385700516e+00 -5.191752314061432116e+00 -8.061948736445314623e+00
0.000000000000000000e+00 -5.068182441588220000e+08 -7.440818649116318184e+00 -1.145050426159880885e+01 -9.754400048251444133e+00
0.000000000000000000e+00 -5.045324441890021563e+08 -7.381065331275681984e+00 -1.661559861926091841e+01 -5.690705983046954408e+00
0.000000000000000000e+00 -5.041987343520832658e+08 -7.751791284137777183e+00 1.472419753395556086e+00 -9.958208231789889453e+00
0.000000000000000000e+00 -5.024788124907817245e+08 9.900747078292663872e+00 -1.363764499615036385e+01 -8.062476921460245194e+00
0.000000000000000000e+00 -4.959733865282315016e+08 -7.758124442500873741e+00 4.426914439765937459e+00 -8.020553697880240307e+00
0.000000000000000000e+00 -4.901211096060544252e+08 -8.369418455577049443e+00 1.926007499077067564e+01 -5.123992650672771987e+00
0.000000000000000000e+00 -4.881331154624419808e+08 8.557492346284455209e+00 3.409793279653192144e+01 -6.668912735345248421e+00
0.000000000000000000e+00 -4.832973817277924418e+08 9.975503466849012568e+00 -2.300479278625687840e+01 -9.009678163145323992e+00
0.000000000000000000e+00 -4.799098476065395474e+08 -8.097724576067804492e+00 2.291627626855947142e+01 -7.341396688683374805e+00
0.000000000000000000e+00 -4.789802177459030151e+08 9.245365780277825962e+00 3.827950680990198862e+00 -9.300350027503480277e+00
0.000000000000000000e+00 -4.731909035836293697e+08 9.871055183166134839e+00 -4.706600327272880691e-01 -4.750642334622058094e+00
0.000000000000000000e+00 -4.712587565391085148e+08 -8.463018933180324055e+00 3.953627474768934746e+01 -6.551387666980436286e+00
0.000000000000000000e+00 -4.701639717815133333e+08 -6.659305747061998737e+00 -2.944895621698384147e+01 -7.619628159689694868e+00
0.000000000000000000e+00 -4.696817998955639601e+08 9.558721221125075829e+00 -1.040109684418318636e+01 -6.268484785891240918e+00
0.000000000000000000e+00 -4.557706627078117132e+08 -6.632353673733353716e+00 -2.553239958879851557e+01 -7.459517311567695153e+00
0.000000000000000000e+00 -4.522182658563554883e+08 -7.516670984382638920e+00 1.007924604209476627e+01 -8.627346488285855486e+00
0.000000000000000000e+00 -4.455266074026294351e+08 -6.991870404551814744e+00 -7.900171909309108287e+00 -9.481335922099482616e+00
0.000000000000000000e+00 -4.447483730734844208e+08 -6.212431998097831531e+00 -3.995887555843072647e+01 -5.925668509642337156e+00
0.000000000000000000e+00 -4.410731240648004413e+08 -8.111184392749153815e+00 2.886584527501285891e+01 -5.240838835293644138e+00
0.000000000000000000e+00 -4.340555038974311948e+08 9.813643505566659542e+00 -3.082604627742478343e+01 -5.736551369627978403e+00
0.000000000000000000e+00 -4.325428508481304646e+08 7.907892899500048145e+00 3.958891008133760181e+01 -7.268084602725179977e+00
0.000000000000000000e+00 -4.146111217509917021e+08 -7.846865688249826221e+00 3.635420410527784441e+01 -8.855477154488637481e+00
0.000000000000000000e+00 -4.125017650913750529e+08 9.075541075673051239e+00 -1.292480909643785481e+01 -7.199755628942602570e+00
0.000000000000000000e+00 -4.112161534995195866e+08 8.851701693349518507e+00 -4.740179040191705440e+00 -7.264311085868176754e+00
0.000000000000000000e+00 -4.070128499208950996e+08 -7.898486373963898188e+00 3.876807254733364516e+01 -5.844787145348158575e+00
0.000000000000000000e+00 -4.063716589056489468e+08 9.100365431641229463e+00 -1.617151551301490287e+01 -7.282460949239338177e+00
