weight logl A B $log(f)$
0.000000000000000000e+00 -8.720929829549667835e+08 8.641764016381836555e-03 1.003074477629262162e-01 4.596160341108158631e-01
0.000000000000000000e+00 -7.791085016812672615e+08 2.019721346301850406e-02 3.944931141089257354e-01 1.221141836263860414e-01
0.000000000000000000e+00 -7.451626541996842623e+08 3.053241543119122881e-02 5.612435855399500184e-02 5.263085541460877925e-01
0.000000000000000000e+00 -7.182699586214323044e+08 1.514857450201978484e-02 6.506839726134215907e-01 1.248504344503534869e-01
0.000000000000000000e+00 -7.117957243468700647e+08 7.492686725833686001e-02 9.407070864190492099e-02 3.132518705657105773e-02
0.000000000000000000e+00 -7.056206696880360842e+08 6.793203444025952553e-02 1.834416067193738176e-01 7.991052554269850727e-02
0.000000000000000000e+00 -6.977444859800366163e+08 6.434406196751940588e-02 1.442995416900838546e-01 4.638584904763549677e-01
0.000000000000000000e+00 -6.798274925764029026e+08 6.235710191955590176e-02 3.261700452876976630e-01 2.819458412575018835e-01
0.000000000000000000e+00 -6.591745710358364582e+08 3.556413015481130202e-02 6.624426761588131374e-01 1.923089661306455200e-01
0.000000000000000000e+00 -6.582226867325282097e+08 7.188836250200247857e-02 3.117911997635923749e-01 2.801947589707554087e-01
0.000000000000000000e+00 -6.526043750163712502e+08 6.071950441225693051e-02 3.300568156767115235e-01 4.709114976408322883e-01
0.000000000000000000e+00 -6.507233175564975739e+08 2.095280701429824699e-02 8.207225153293150610e-01 3.676061819578041456e-01
0.000000000000000000e+00 -6.466250901557319164e+08 2.343475522591642601e-02 6.349208887631128118e-01 4.981041369973555621e-01
0.000000000000000000e+00 -6.385629240342329741e+08 5.253785614083206212e-02 5.737741980206731984e-01 7.316432060009026017e-02
0.000000000000000000e+00 -6.383392086299986839e+08 6.193329318936335870e-02 4.669577689507005136e-01 3.748837241091055317e-01
0.000000000000000000e+00 -6.356187246250479221e+08 8.022257306486391126e-02 2.922975868524493315e-01 3.936169414047816506e-01
0.000000000000000000e+00 -6.297725046056884527e+08 9.934906743859773792e-01 8.435729698134035726e-01 6.786005312259912881e-02
0.000000000000000000e+00 -6.243284734400905371e+08 2.830185193720502479e-02 8.607123594344928685e-01 2.209043437438705793e-01
0.000000000000000000e+00 -6.205706490493013859e+08 6.536368787450030915e-02 4.348010445772266808e-01 4.556351945136288828e-01
0.000000000000000000e+00 -6.061655101792409420e+08 3.756660589907079295e-02 1.630983865116508724e-03 5.787686311652223692e-01
0.000000000000000000e+00 -6.048012686558145285e+08 2.944849731672782855e-02 9.231087563984456956e-01 2.152365636877348054e-01
0.000000000000000000e+00 -6.013534490391461849e+08 6.142197357475231989e-02 5.023147041887756625e-01 4.780299398255134502e-01
0.000000000000000000e+00 -5.905831447360538244e+08 2.083479277328392776e-02 8.749254017834812158e-01 4.991345223793047792e-01
0.000000000000000000e+00 -5.734279992761099339e+08 9.116065629245806434e-02 2.886970743661989580e-01 4.912235777781279733e-01
0.000000000000000000e+00 -5.694313803443695307e+08 4.282553524482601848e-02 9.301133555715995760e-01 1.186525039280423854e-01
0.000000000000000000e+00 -5.683652625316516161e+08 8.707942805269497377e-02 5.049379522094028516e-01 2.105799995843914418e-01
0.000000000000000000e+00 -5.559622045688028336e+08 1.299201596441493800e-01 1.390488408294792144e-01 1.157956224974603376e-01
0.000000000000000000e+00 -5.487325653108633757e+08 5.854098213523928340e-02 8.338241530800685197e-01 4.004561603262228875e-01
0.000000000000000000e+00 -5.448489225737315416e+08 1.273430334572343003e-01 2.082197844251294505e-01 7.497195242397847181e-02
0.000000000000000000e+00 -5.408437734539974928e+08 9.724749043747866750e-01 7.044982579719237803e-01 1.394736801085502131e-01
0.000000000000000000e+00 -5.393288797711958885e+08 5.962340822633072079e-02 8.864050779094843069e-01 1.547539887996993713e-01
0.000000000000000000e+00 -5.333380870494237542e+08 5.456452024419067293e-02 8.942441083802050716e-01 4.483328478007827522e-01
0.000000000000000000e+00 -5.259558522249590158e+08 9.995071341759593775e-01 3.824832558538643346e-01 1.490459987004477682e-01
