18:33:35 [ultranest] [DEBUG] ReactiveNestedSampler: dims=3+0, resume=True, log_dir=ultranest_plane/run0, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
18:33:43 [ultranest] [INFO] Sampling 400 live points from prior ...
18:33:43 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=400
18:33:43 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=3, min_num_live_points=400, cluster_num_live_points=40
18:33:43 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 400.0), (inf, 400.0)]
18:33:44 [ultranest] [DEBUG] iteration=0, ncalls=410, regioncalls=0, ndraw=40, logz=-inf, remainder_fraction=100.0000%, Lmin=-872092982.95, Lmax=-227.49
18:33:44 [ultranest] [DEBUG] iteration=10, ncalls=490, regioncalls=0, ndraw=40, logz=-658222692.75, remainder_fraction=100.0000%, Lmin=-652604375.02, Lmax=-227.49
18:33:44 [ultranest] [DEBUG] iteration=38, ncalls=682, regioncalls=0, ndraw=40, logz=-509452286.91, remainder_fraction=100.0000%, Lmin=-506818244.16, Lmax=-227.49
18:33:44 [ultranest] [DEBUG] iteration=40, ncalls=696, regioncalls=0, ndraw=40, logz=-504532450.28, remainder_fraction=100.0000%, Lmin=-504198734.35, Lmax=-227.49
18:33:44 [ultranest] [DEBUG] iteration=66, ncalls=893, regioncalls=0, ndraw=40, logz=-393307734.26, remainder_fraction=100.0000%, Lmin=-388127311.03, Lmax=-227.49
18:33:44 [ultranest] [DEBUG] iteration=80, ncalls=992, regioncalls=0, ndraw=40, logz=-357852327.74, remainder_fraction=100.0000%, Lmin=-347013537.73, Lmax=-227.49
18:33:44 [ultranest] [DEBUG] iteration=100, ncalls=1137, regioncalls=0, ndraw=40, logz=-284641967.98, remainder_fraction=100.0000%, Lmin=-284355529.11, Lmax=-227.49
18:33:44 [ultranest] [DEBUG] iteration=119, ncalls=1274, regioncalls=0, ndraw=40, logz=-250736090.05, remainder_fraction=100.0000%, Lmin=-249008355.50, Lmax=-227.49
18:33:44 [ultranest] [DEBUG] iteration=120, ncalls=1281, regioncalls=0, ndraw=40, logz=-249008361.79, remainder_fraction=100.0000%, Lmin=-245348376.09, Lmax=-227.49
18:33:44 [ultranest] [DEBUG] iteration=147, ncalls=1479, regioncalls=0, ndraw=40, logz=-189249658.58, remainder_fraction=100.0000%, Lmin=-189225525.70, Lmax=-208.33
18:33:44 [ultranest] [DEBUG] iteration=160, ncalls=1580, regioncalls=0, ndraw=40, logz=-168141028.53, remainder_fraction=100.0000%, Lmin=-167337258.40, Lmax=-208.33
18:33:44 [ultranest] [DEBUG] iteration=182, ncalls=1762, regioncalls=0, ndraw=40, logz=-133556617.11, remainder_fraction=100.0000%, Lmin=-132718601.75, Lmax=-208.33
18:33:44 [ultranest] [DEBUG] iteration=200, ncalls=1888, regioncalls=0, ndraw=40, logz=-116293007.72, remainder_fraction=100.0000%, Lmin=-115985563.02, Lmax=-208.33
18:33:45 [ultranest] [DEBUG] iteration=223, ncalls=2066, regioncalls=0, ndraw=40, logz=-93344069.71, remainder_fraction=100.0000%, Lmin=-93123443.81, Lmax=-208.33
18:33:45 [ultranest] [DEBUG] iteration=240, ncalls=2213, regioncalls=0, ndraw=40, logz=-76692955.95, remainder_fraction=100.0000%, Lmin=-76418172.22, Lmax=-208.33
18:33:45 [ultranest] [DEBUG] iteration=265, ncalls=2435, regioncalls=0, ndraw=40, logz=-62807450.74, remainder_fraction=100.0000%, Lmin=-62601044.35, Lmax=-208.33
18:33:45 [ultranest] [DEBUG] iteration=270, ncalls=2480, regioncalls=0, ndraw=40, logz=-60980253.52, remainder_fraction=100.0000%, Lmin=-60836155.46, Lmax=-208.33
